autopista,tramo,eje,sentido,portico_id,referencia_tramo,longitud_km,categoria_vehiculo,tipo_tarifa,precio_clp
Autopista Central,,EJE GENERAL VELASQUEZ,SUR-NORTE,PA23,C. Valdovinos - Alameda,2.77,categoria_2,TBFP,417.44
Autopista Central,,EJE GENERAL VELASQUEZ,SUR-NORTE,PA23,C. Valdovinos - Alameda,2.77,categoria_2,TBP,834.89
Autopista Central,,EJE GENERAL VELASQUEZ,SUR-NORTE,PA23,C. Valdovinos - Alameda,2.77,categoria_3,TBFP,556.59
Autopista Central,,EJE GENERAL VELASQUEZ,SUR-NORTE,PA23,C. Valdovinos - Alameda,2.77,categoria_3,TBP,1113.19
Autopista Central,,EJE GENERAL VELASQUEZ,SUR-NORTE,PA25,Alameda - Río Mapocho,4.06,categoria_1y4,TBFP,407.9
Autopista Central,,EJE GENERAL VELASQUEZ,SUR-NORTE,PA25,Alameda - Río Mapocho,4.06,categoria_1y4,TBP,815.8
Autopista Central,,EJE GENERAL VELASQUEZ,SUR-NORTE,PA25,Alameda - Río Mapocho,4.06,categoria_1y4,TS,1223.71
Autopista Central,,EJE GENERAL VELASQUEZ,SUR-NORTE,PA25,Alameda - Río Mapocho,4.06,categoria_2,TBFP,611.85
Autopista Central,,EJE GENERAL VELASQUEZ,SUR-NORTE,PA25,Alameda - Río Mapocho,4.06,categoria_2,TBP,1223.71
Autopista Central,,EJE GENERAL VELASQUEZ,SUR-NORTE,PA25,Alameda - Río Mapocho,4.06,categoria_2,TS,1835.56
Autopista Central,,EJE GENERAL VELASQUEZ,SUR-NORTE,PA25,Alameda - Río Mapocho,4.06,categoria_3,TBFP,815.8
Autopista Central,,EJE GENERAL VELASQUEZ,SUR-NORTE,PA25,Alameda - Río Mapocho,4.06,categoria_3,TBP,1631.61
Autopista Central,,EJE GENERAL VELASQUEZ,SUR-NORTE,PA25,Alameda - Río Mapocho,4.06,categoria_3,TS,2447.42
Autopista Central,,EJE GENERAL VELASQUEZ,SUR-NORTE,PA28,Río Mapocho - Ruta 5 Norte,4.93,categoria_1y4,TBFP,495.31
Autopista Central,,EJE GENERAL VELASQUEZ,SUR-NORTE,PA28,Río Mapocho - Ruta 5 Norte,4.93,categoria_1y4,TBP,990.62
Autopista Central,,EJE GENERAL VELASQUEZ,SUR-NORTE,PA28,Río Mapocho - Ruta 5 Norte,4.93,categoria_1y4,TS,1485.93
Autopista Central,,EJE GENERAL VELASQUEZ,SUR-NORTE,PA28,Río Mapocho - Ruta 5 Norte,4.93,categoria_2,TBFP,742.96
Autopista Central,,EJE GENERAL VELASQUEZ,SUR-NORTE,PA28,Río Mapocho - Ruta 5 Norte,4.93,categoria_2,TBP,1485.93
Autopista Central,,EJE GENERAL VELASQUEZ,SUR-NORTE,PA28,Río Mapocho - Ruta 5 Norte,4.93,categoria_2,TS,2228.9
Autopista Central,,EJE GENERAL VELASQUEZ,SUR-NORTE,PA28,Río Mapocho - Ruta 5 Norte,4.93,categoria_3,TBFP,990.62
Autopista Central,,EJE GENERAL VELASQUEZ,SUR-NORTE,PA28,Río Mapocho - Ruta 5 Norte,4.93,categoria_3,TBP,1981.24
Autopista Central,,EJE GENERAL VELASQUEZ,SUR-NORTE,PA28,Río Mapocho - Ruta 5 Norte,4.93,categoria_3,TS,2971.87
Autopista Central,,EJE GENERAL VELASQUEZ,NORTE-SUR,PA29,Ruta 5 Norte - Río Mapocho,4.93,categoria_1y4,TBFP,495.31
Autopista Central,,EJE GENERAL VELASQUEZ,NORTE-SUR,PA29,Ruta 5 Norte - Río Mapocho,4.93,categoria_1y4,TBP,990.62
Autopista Central,,EJE GENERAL VELASQUEZ,NORTE-SUR,PA29,Ruta 5 Norte - Río Mapocho,4.93,categoria_2,TBFP,742.96
